[-11, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-1, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-5, 3, 1, 5, 7, 10, 103, -301, 4, 1]
[-11, 1, 2, 3, 5, 6, 1, 3, 4, 1]
[-51, 31, 1, 5, 7, 10, 103, -301, 4, 1]
